schedule_period_name,schedule_period_start_date,schedule_period_end_date,stop_number,route_number,route_name,day_type,time_period,average_boardings,average_alightings,location
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,41,Henderson Express,Weekday,Morning,1.6,49.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,25,Ness Super Express,Weekday,PM Peak,36.8,1.2,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,66.4,0.6,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Mid-Day,14.0,30.7,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Evening,16.8,8.2,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,2,Downtown Spirit,Weekday,PM Peak,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Night,1.2,1.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2020,08/02/2020 12:00:00 AM,09/05/2020 12:00:00 AM,10637,25,Ness Super Express,Weekday,PM Peak,7.8,0.3,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Afternoon,3.5,2.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,24,Ness Express,Weekday,PM Peak,13.7,0.1,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Morning,4.8,12.7,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Night,1.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,17.4,0.0,POINT (-97.1388667306942 49.8961855953002)
